"LABEL","ORDER_SEQ_ID","ORDER_TYPE_ID","ORD_CREATION_DATE","ORD_START_DATE","ORD_COMPLETION_DATE","REQUESTED_DELIVERY_DATE","DB_INSTANCE","ORD_STATE_ID","ORD_TXN_START_DATE","ORD_TXN_COMPLETION_DATE","ORD_TXN_REASON","VERSION","CREATION_VIEW_ID","STATE_ID","DATE_POS_STARTED","USERNAME","TASK_ID","TASK_TYPE","AUTHOR","COORD_SET_ID","EXECUTION_MODE"
"RECEIVED",596872185,10005,20/04/14,20/04/14,99/12/31,20/04/14,2,5,20/06/15,20/06/15,"Order Amended",1,10488,1,20/06/15,"oms-automation",10439,"A","oms-automation",2917481519,"U"
"RECEIVED",596872185,10005,20/04/14,20/04/14,99/12/31,20/04/14,2,5,20/06/15,20/06/15,"Order Amended",1,10488,1,20/06/15,"oms-automation",10537,"A","oms-automation",2957748333,"U"
"RECEIVED",602607413,10005,20/05/11,20/05/11,99/12/31,20/05/11,2,5,20/06/19,20/06/19,"Order Amended",1,10488,1,20/06/19,"oms-automation",10632,"A","oms-automation",2944838810,"U"
"RECEIVED",602607413,10005,20/05/11,20/05/11,99/12/31,20/05/11,2,5,20/06/19,20/06/19,"Order Amended",1,10488,1,20/06/19,"oms-automation",10632,"A","oms-automation",2944838825,"U"
"RECEIVED",611618038,10005,20/06/16,20/06/16,99/12/31,20/06/16,1,5,20/06/16,20/06/16,"Order Amended",3,10488,1,20/06/16,"oms-automation",10439,"A","oms-automation",2986538047,"U"
"RECEIVED",612577932,10005,20/06/18,20/06/18,99/12/31,20/06/18,1,5,20/06/22,20/06/22,"Order Amended",1,10488,1,20/06/22,"oms-automation",10601,"A","oms-automation",2992132476,"A"
